Class	Node Name
2.000000	29608
2.000000	6939
2.000000	62567
2.000000	6453
2.000000	2857
2.000000	12956
2.000000	10429
2.000000	22548
2.000000	3549
2.000000	264911
2.000000	14061
2.000000	3356
2.000000	29680
1.000000	174
1.000000	7018
2.000000	19151
2.000000	286
2.000000	28329
2.000000	52720
1.000000	263075
2.000000	22652
2.000000	9002
2.000000	41617
2.000000	2914
1.000000	263651
2.000000	4589
2.000000	15435
2.000000	34019
2.000000	8763
2.000000	59689
2.000000	1280
2.000000	4230
2.000000	262757
2.000000	20080
2.000000	25152
2.000000	1251
2.000000	52863
2.000000	6762
2.000000	15547
2.000000	29075
2.000000	1916
2.000000	37271
2.000000	1853
2.000000	2613
1.000000	263152
2.000000	49463
2.000000	12654
2.000000	50620
2.000000	24482
2.000000	8596
2.000000	198385
2.000000	2497
2.000000	6667
1.000000	262317
2.000000	680
2.000000	13030
2.000000	6695
2.000000	1273
2.000000	52320
2.000000	20764
2.000000	8218
2.000000	7575
2.000000	16735
2.000000	53067
2.000000	3257
2.000000	9189
2.000000	6720
2.000000	23106
2.000000	35369
2.000000	53070
2.000000	28571
