47872	1
1280	1
20612	1
25091	1
3333	1
8455	1
37640	1
6667	1
29680	1
196621	1
5392	1
5396	1
59414	1
327960	1
41497	1
8218	1
6939	1
20764	1
8222	1
25435	1
57381	1
29222	1
59689	1
9002	0
1836	1
2895	1
57821	1
202032	1
6453	1
8758	1
49463	1
30132	1
12859	1
28220	1
12350	1
15605	1
25152	1
263651	1
23106	1
263152	1
25160	1
53067	1
15435	1
53070	1
1103	1
30844	1
20562	1
15699	0
9304	1
3549	1
8283	1
37468	1
12637	1
28929	1
16735	1
2914	1
327995	1
58299	1
262757	1
62567	1
198249	1
6762	1
198290	1
20080	1
35699	1
37239	1
22548	1
553	1
43100	1
1916	1
7018	1
52863	1
50304	1
34177	1
25220	1
41095	1
37271	1
64396	1
2613	1
48526	1
14061	1
41617	1
286	1
29075	1
8596	1
4608	1
7575	1
52888	1
56730	1
264911	1
8607	1
263584	1
52720	1
24482	1
3491	1
51185	1
29608	1
4777	1
22652	1
262317	1
45896	1
3252	1
13237	1
3257	1
15547	1
6720	1
31424	1
2497	1
50763	1
20932	1
49605	1
680	1
51405	1
19151	1
202194	1
29140	1
37497	1
16347	1
34781	1
14361	1
34019	1
9189	1
13030	1
50300	1
8426	1
12779	1
4589	1
35054	1
34288	1
198385	1
59891	1
28917	1
29686	1
28329	1
2516	0
29691	1
